Company,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Location,site,State,Country
VKS RF,16/05/2011,12:56:00,Space Shuttle Endeavour,STS-134,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
Martin Marietta,10/06/2011,14:20:00,Delta II 7320-10C,SAC-D,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
VKS RF,30/06/2011,03:09:00,Minotaur I,ORS-1,Active,40,Success,LP-0B, Wallops Flight Facility, Virginia, USA
VKS RF,08/07/2011,15:29:00,Space Shuttle Atlantis,STS-135,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
General Dynamics,16/07/2011,06:41:00,"Delta IV Medium+ (4,2)",GPS IIF-2,Retired,164,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
ILS,05/08/2011,16:25:00,Atlas V 551,Juno,Active,153,Success,SLC-41, Cape Canaveral AFS, Florida, USA
ISAS,10/09/2011,13:08:00,Delta II 7920H-10C,GRAIL,Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
VKS RF,27/09/2011,15:49:00,Minotaur IV,TacSat-4,Active,46,Success,LP-1, Pacific Spaceport Complex, Alaska, USA
CASC,28/10/2011,09:48:00,Delta II 7920-10C,Suomi NPP / ELaNa III,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Lockheed,26/11/2011,15:02:00,Atlas V 541,Mars Science Laboratory,Active,145,Success,SLC-41, Cape Canaveral AFS, Florida, USA
NASA,20/01/2012,00:38:00,"Delta IV Medium+ (5,4)",WGS-4,Retired,,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
NASA,24/02/2012,22:15:00,Atlas V 551,MUOS-1,Active,153,Success,SLC-41, Cape Canaveral AFS, Florida, USA
VKS RF,03/04/2012,23:12:00,"Delta IV Medium+ (5,2)",NROL-25,Retired,,Success,SLC-6, Vandenberg AFB, California, USA
MHI,04/05/2012,18:42:00,Atlas V 531,AEHF-2,Active,140,Success,SLC-41, Cape Canaveral AFS, Florida, USA
VKS RF,22/05/2012,07:44:00,Falcon 9 v1.0,COTS-2+,Retired,59.5,Success,SLC-40, Cape Canaveral AFS, Florida, USA
ILS,13/06/2012,16:00:00,Pegasus XL,NuSTAR,Active,40,Success,Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA
General Dynamics,20/06/2012,12:28:00,Atlas V 401,NROL-38,Active,109,Success,SLC-41, Cape Canaveral AFS, Florida, USA
MITT,29/06/2012,13:15:00,Delta IV Heavy,NROL-15,Active,350,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
Arianespace,30/08/2012,08:05:00,Atlas V 401,Van Allen Probes (RBSP),Active,109,Success,SLC-41, Cape Canaveral AFS, Florida, USA
