,name,diet,lived_in,type,period_name
284,torvosaurus,carnivorous,USA,large theropod,Late Jurassic
285,triceratops,herbivorous,USA,ceratopsian,Late Cretaceous
286,troodon,carnivorous,USA,small theropod,Late Cretaceous
287,tsagantegia,herbivorous,Mongolia,armoured dinosaur,Late Cretaceous
288,tsintaosaurus,herbivorous,China,euornithopod,Late Cretaceous
289,tuojiangosaurus,herbivorous,China,armoured dinosaur,Late Jurassic
290,tylocephale,herbivorous,Mongolia,euornithopod,Late Cretaceous
291,tyrannosaurus,carnivorous,USA,large theropod,Late Cretaceous
292,udanoceratops,herbivorous,Mongolia,ceratopsian,Late Cretaceous
293,unenlagia,carnivorous,Argentina,small theropod,Late Cretaceous
294,urbacodon,carnivorous,Uzbekistan,small theropod,Late Cretaceous
295,utahraptor,carnivorous,USA,large theropod,Early Cretaceous
296,valdosaurus,herbivorous,United Kingdom,euornithopod,Early Cretaceous
297,velociraptor,carnivorous,Mongolia,small theropod,Late Cretaceous
298,vulcanodon,herbivorous,Zimbabwe,sauropod,Early Jurassic
299,yandusaurus,herbivorous,China,euornithopod,Mid Jurassic
300,yangchuanosaurus,carnivorous,China,large theropod,Late Jurassic
301,yimenosaurus,herbivorous,China,sauropod,Early Jurassic
302,yingshanosaurus,herbivorous,China,armoured dinosaur,Late Jurassic
303,yinlong,herbivorous,China,ceratopsian,Mid Jurassic
304,yuanmousaurus,herbivorous,China,sauropod,Mid Jurassic
305,yunnanosaurus,omnivorous,China,sauropod,Early Jurassic
306,zalmoxes,herbivorous,Romania,euornithopod,Late Cretaceous
307,zephyrosaurus,herbivorous,USA,euornithopod,Early Cretaceous
308,zuniceratops,herbivorous,USA,ceratopsian,Late Cretaceous
